trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.02, 'e': 0.01831563888873418}",35,23,22.498551472710318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.02, 'e': 0.01795296493950285}",20,6,21.94989847524602,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.02, 'e': 0.017597472415623393}",20,0,26.446335397443583,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.02, 'e': 0.017249019115346265}",25,0,38.2374958163367,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.02, 'e': 0.01690746565270528}",30,0,42.47271205817702,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.02, 'e': 0.016572675401761255}",30,22,8.122776758138237,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.02, 'e': 0.01624451444194987}",20,2,28.573021962083622,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.02, 'e': 0.015922851504511698}",30,16,24.178071845543148,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.02, 'e': 0.01560755791998283}",25,13,19.38261116005959,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.02, 'e': 0.015298507566725518}",20,5,-17.277393844247573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
211,False,"{'a': 0.02, 'e': 0.014995576820477703}",20,0,29.268654175713834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.02, 'e': 0.014698644504901784}",25,12,22.933228696688612,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.02, 'e': 0.01440759184311235}",25,0,39.18549893590361,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.02, 'e': 0.014122302410163962}",25,5,29.177799086911797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.02, 'e': 0.013842662086479501}",20,2,20.553526147897315,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.02, 'e': 0.013568559012200934}",20,2,21.504294938889576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.02, 'e': 0.013299883542443767}",30,0,41.488882485639486,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.02, 'e': 0.013036528203437736}",20,5,23.66243322538517,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.02, 'e': 0.01277838764953576}",20,8,20.514017187414222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.02, 'e': 0.012525358621074385}",25,10,23.71038175783668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.02, 'e': 0.012277339903068436}",30,16,24.078403731066118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.02, 'e': 0.012034232284723775}",20,8,18.983916770850165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.02, 'e': 0.011795938519751562}",20,16,6.84091997207832,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.02, 'e': 0.011562363287468536}",25,6,34.36384452099969,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.02, 'e': 0.011333413154667387}",20,12,13.782768434461868,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.02, 'e': 0.011108996538242306}",30,13,30.804250773826293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.02, 'e': 0.01088902366855444}",25,2,25.2629240821181,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.02, 'e': 0.010673406553522925}",30,13,27.720429991775713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.02, 'e': 0.010462058943426795}",20,0,26.10676824076554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.02, 'e': 0.010254896296404022}",20,9,17.99281496931007,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.02, 'e': 0.010051835744633576}",30,10,32.83979509436612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.02, 'e': 0.009852796061187257}",20,8,21.039148150260875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,20,8.945197048667257,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,20,7.819106730074363,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,14,11.438018637752036,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,2,30.51253521508821,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,5,31.873991911947098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,20,7.006005060526733,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,6,25.565154843139883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,14,10.18297653015448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,3,24.987912376184276,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,7,17.434691428074544,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
