trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,14,9.993606870441251,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30727873860113125}",20,10,10.450283728089444,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.30119421191220214}",25,5,-36.09203839907515,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,5,-1.6662145661869978,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.2893842179390506}",20,11,-9.118544172999263,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,0,4.5566530965032594,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.02, 'e': 0.27803730045319414}",25,0,-67.8294059124736,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.02, 'e': 0.2725317930340126}",25,0,-28.940679127875317,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
67,False,"{'a': 0.02, 'e': 0.26713530196585034}",20,16,8.576175782579963,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.261845668580326}",20,6,19.39730606599722,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,4,-83.76740991322553,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
70,False,"{'a': 0.02, 'e': 0.25157855305975646}",30,0,20.620500842736412,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.02, 'e': 0.24659696394160643}",25,7,27.93453251458258,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,6,9.626721523006708,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23692775868212176}",25,8,6.755402940278308,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.23223627472975883}",30,0,-49.191883674667615,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.02, 'e': 0.22763768838381274}",30,16,12.572168127301941,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.22313016014842982}",20,3,-26.241728372071346,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.02, 'e': 0.21871188695221475}",25,3,-24.685932446350005,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,14,-40.207559783531764,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.02, 'e': 0.21013607120076472}",20,2,8.199530508797762,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.20597509820488344}",35,0,11.394219901055619,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.02, 'e': 0.20189651799465538}",25,18,12.68453403617697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19789869908361465}",30,19,14.781749692464068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
